age_band_of_driver,female,male
0-15,104,672
16-20,2391,6367
21-25,4159,8990
26-35,7584,16020
36-45,6417,13474
46-55,5471,12361
56-65,2655,6984
66-75,1449,3488
Over 75,889,2151
